date,symbol,pc_vol,pc_oi,atm_iv,iv_skew,short_ratio,short_pct_float,btc_dom
2026-09-02 00:00:00+00:00,AAPL,0.5275290228260261,1.6453868572546675,0.0666597241210937,0.1172307168856533,2.19,0.008,0.1813773033703487
2026-09-02 00:00:00+00:00,BTC/USD,,,,,,,0.1813773033703487
2026-09-02 00:00:00+00:00,ETH/USD,,,,,,,0.1813773033703487
2026-09-02 00:00:00+00:00,MSFT,0.7123534553449938,0.5577128726106135,0.0789887023925781,0.192911528273587,1.85,0.0092,0.1813773033703487
2026-09-02 00:00:00+00:00,NVDA,0.661023125128021,0.8514911102066759,0.1358728991699218,0.0245025958806818,2.35,0.0123000005,0.1813773033703487
2026-09-02 00:00:00+00:00,SPY,1.1939541786746444,1.5873747768033215,0.0376683148193359,0.0900773936565657,,,0.1813773033703487
2026-09-03 00:00:00+00:00,AAPL,0.4451096590580845,0.7155406843387169,0.1859212268066406,0.1256701300048828,2.19,0.008,0.1878435636574831
2026-09-03 00:00:00+00:00,BTC/USD,,,,,,,0.1878435636574831
2026-09-03 00:00:00+00:00,ETH/USD,,,,,,,0.1878435636574831
2026-09-03 00:00:00+00:00,MSFT,0.4546983682313927,0.5791427709025053,0.2024005541992187,0.0965363067626953,1.85,0.0092,0.1878435636574831
2026-09-03 00:00:00+00:00,NVDA,0.5977346511589734,0.8600199126435057,0.2547071600341797,0.116653662997159,2.35,0.0123000005,0.1878435636574831
2026-09-03 00:00:00+00:00,SPY,0.9725322408025808,1.4426607892818717,0.019266399230957,0.0708328823261487,,,0.1878435636574831
2026-09-04 00:00:00+00:00,AAPL,0.6509609755281601,0.7737835673126127,0.1147549462890624,0.1541007910156249,2.19,0.008,0.184590843176184
2026-09-04 00:00:00+00:00,BTC/USD,,,,,,,0.184590843176184
2026-09-04 00:00:00+00:00,ETH/USD,,,,,,,0.184590843176184
2026-09-04 00:00:00+00:00,MSFT,0.811128081693362,0.5960900729940721,0.0573214385986328,0.1588272977487665,1.85,0.0092,0.184590843176184
2026-09-04 00:00:00+00:00,NVDA,0.5220798508301788,1.1225603901745649,0.0925383715820312,0.0767037784090909,2.35,0.0123000005,0.184590843176184
2026-09-04 00:00:00+00:00,SPY,1.1071524562716053,1.2142401504484155,0.0220129537963867,-0.0057729290489783,,,0.184590843176184
2026-09-05 00:00:00+00:00,AAPL,0.5290886173217307,0.3689266543862776,0.261451477355957,0.0513259841308592,2.19,0.008,0.1759723513205393
2026-09-05 00:00:00+00:00,BTC/USD,,,,,,,0.1759723513205393
2026-09-05 00:00:00+00:00,ETH/USD,,,,,,,0.1759723513205393
2026-09-05 00:00:00+00:00,MSFT,0.5209688177422044,0.8265634132086499,0.1906056282043456,0.0525982153320312,1.85,0.0092,0.1759723513205393
2026-09-05 00:00:00+00:00,NVDA,0.8531564305585277,0.4155660671912077,0.2639233764648437,0.0956109244051847,2.35,0.0123000005,0.1759723513205393
2026-09-05 00:00:00+00:00,SPY,1.4679757660419563,1.422319932998325,0.058053853149414,0.0793315104560319,,,0.1759723513205393
2026-09-06 00:00:00+00:00,AAPL,0.5290886173217307,0.3689266543862776,0.2923044403076171,0.0548252980957031,2.19,0.008,0.1838265854166376
2026-09-06 00:00:00+00:00,BTC/USD,,,,,,,0.1838265854166376
2026-09-06 00:00:00+00:00,ETH/USD,,,,,,,0.1838265854166376
2026-09-06 00:00:00+00:00,MSFT,0.5209688177422044,0.8265634132086499,0.2130968583679199,0.0586067272949218,1.85,0.0092,0.1838265854166376
2026-09-06 00:00:00+00:00,NVDA,0.8531564305585277,0.4155660671912077,0.2950509948730468,0.1052284892134231,2.35,0.0123000005,0.1838265854166376
2026-09-06 00:00:00+00:00,SPY,1.4679757660419563,1.422319932998325,0.067041190032959,0.0915979212209302,,,0.1838265854166376
2026-09-07 00:00:00+00:00,AAPL,0.5290886173217307,0.3689266543862776,0.3375005215454101,0.0620884090576171,2.19,0.008,0.182074353795802
2026-09-07 00:00:00+00:00,BTC/USD,,,,,,,0.182074353795802
2026-09-07 00:00:00+00:00,ETH/USD,,,,,,,0.182074353795802
2026-09-07 00:00:00+00:00,MSFT,0.5209688177422044,0.8265634132086499,0.2460707717895507,0.06835869140625,1.85,0.0092,0.182074353795802
2026-09-07 00:00:00+00:00,NVDA,0.8531564305585277,0.4155660671912077,0.3407658697509765,0.1220863540926848,2.35,0.0123000005,0.182074353795802
2026-09-07 00:00:00+00:00,SPY,1.4679757660419563,1.422319932998325,0.0821014642333984,0.1130620961119185,,,0.182074353795802
2026-09-08 00:00:00+00:00,AAPL,0.7609111163890114,0.7139491613904989,0.34717449707031245,0.14158901088169634,2.19,0.008,0.16668845131744736
2026-09-08 00:00:00+00:00,BTC/USD,,,,,,,0.16668845131744736
2026-09-08 00:00:00+00:00,ETH/USD,,,,,,,0.16668845131744736
2026-09-08 00:00:00+00:00,MSFT,0.6396098948544725,0.6051832103664208,0.2067340069580078,0.08052296223690636,1.85,0.0092,0.16668845131744736
2026-09-08 00:00:00+00:00,NVDA,0.6621526909787455,0.9622610141313384,0.2518995709228516,0.10068357333096584,2.35,0.0123000005,0.16668845131744736
2026-09-08 00:00:00+00:00,SPY,1.2130750664545014,2.401764929254239,0.012308460998535158,0.0805981523437499,,,0.16668845131744736
